Student,Courses
Kirby Mayer,"{'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic for Knowledge Representation', 'Fundamentals of Computer Vision', 'Abstract Machines', 'Logic and Foundations of Mathematics', 'Fundamentals of Digital Systems'}"
Millard Wilkinson,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 1', 'Fundamentals of Digital Systems'}"
Laurence Bright,"{'Introduction to Artificial Intelligence', 'Abstract Machines', 'Introduction to Visual Computing'}"
Dannie Ruiz,"{'Introduction to Artificial Intelligence', 'Parallel Computing', 'Audio and Video Production', 'Logic programming and constraints', 'Introduction to Programming 2', 'Introduction to Visual Computing'}"
Adolfo Mays,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Logic and Foundations of Mathematics', 'Fundamentals of Computer Graphics'}"
Horacio Santana,"{'Logic for Knowledge Representation', 'Logic and Reasoning in Computer Science', 'Functional Programming', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Multimedia'}"
Maggie Wells,"{'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Introduction to Programming 2'}"
Harriett Rangel,"{'Argumentation and Proof', 'Efficient Algorithms', 'Parallel Computing', 'Computermusic', 'Creative Media Production', 'Introduction to Machine Learning', 'Fundamentals of Computer Graphics', 'Fundamentals of Digital Systems'}"
Roy Munoz,"{'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Computer Systems', 'Fundamentals of Computer Vision', 'Introduction to Programming 1', 'Fundamentals of Digital Systems'}"
Eddie York,"{'Efficient Algorithms', 'Fundamentals of Digital Systems', 'Computermusic', 'Audio and Video Production', 'Fundamentals of Computer Vision', 'Logic and Foundations of Mathematics', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Lawanda Gallegos,"{'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics', 'Algorithms and Data Structures'}"
Marty Riggs,"{'Introduction to Artificial Intelligence', 'Fundamentals of Computer Vision', 'Abstract Machines', 'Multimedia', 'Fundamentals of Digital Systems'}"
Vickie Lowe,{'Logic for Knowledge Representation'}
Nathan Callahan,"{'Efficient Algorithms', 'Logic for Knowledge Representation', 'Computermusic', 'Audio and Video Production', 'Logic programming and constraints', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics', 'Algorithms and Data Structures'}"
Jesus Mathis,"{'Efficient Algorithms', 'Logic and Reasoning in Computer Science', 'Programming Paradigms', 'Logic and Foundations of Mathematics', 'Introduction to Visual Computing'}"
Mauro Malone,"{'Introduction to Artificial Intelligence', 'Audio and Video Production', 'Introduction to Programming 1', 'Introduction to Programming 2', 'Algorithms and Data Structures', 'Multimedia'}"
